SentenceId,ArchitectureElementId
4,_0e5u8FkHEeyewPSmlgszyA
5,_0e5u8FkHEeyewPSmlgszyA
6,_0e5u8FkHEeyewPSmlgszyA
6,_yGgUMFkHEeyewPSmlgszyA
8,_yGgUMFkHEeyewPSmlgszyA
9,_yGgUMFkHEeyewPSmlgszyA
10,_yGgUMFkHEeyewPSmlgszyA
11,_0e5u8FkHEeyewPSmlgszyA
12,_yGgUMFkHEeyewPSmlgszyA
12,_0e5u8FkHEeyewPSmlgszyA
13,_yGgUMFkHEeyewPSmlgszyA
13,_0e5u8FkHEeyewPSmlgszyA
14,_0e5u8FkHEeyewPSmlgszyA
15,_yGgUMFkHEeyewPSmlgszyA
18,_yGgUMFkHEeyewPSmlgszyA
25,_XuNf4FkJEeyewPSmlgszyA
28,_4yx-8FkHEeyewPSmlgszyA
34,_4yx-8FkHEeyewPSmlgszyA
35,_4yx-8FkHEeyewPSmlgszyA
37,_yGgUMFkHEeyewPSmlgszyA
44,_6sergFkHEeyewPSmlgszyA
45,_6sergFkHEeyewPSmlgszyA
45,_yGgUMFkHEeyewPSmlgszyA
46,_RDHFIFwPEeyiuNx_RO7j-Q
47,_RDHFIFwPEeyiuNx_RO7j-Q
49,_XuNf4FkJEeyewPSmlgszyA
50,_XuNf4FkJEeyewPSmlgszyA
52,_XuNf4FkJEeyewPSmlgszyA
55,_nwrCMFwPEeyiuNx_RO7j-Q
55,_9wZIcFkHEeyewPSmlgszyA
56,_nwrCMFwPEeyiuNx_RO7j-Q
58,_XuNf4FkJEeyewPSmlgszyA
58,_6sergFkHEeyewPSmlgszyA
58,_9wZIcFkHEeyewPSmlgszyA
59,_nwrCMFwPEeyiuNx_RO7j-Q
61,_nwrCMFwPEeyiuNx_RO7j-Q
63,_s0aIcFkHEeyewPSmlgszyA
64,_nwrCMFwPEeyiuNx_RO7j-Q
65,_s0aIcFkHEeyewPSmlgszyA
65,_oN4CMFkHEeyewPSmlgszyA
66,_oN4CMFkHEeyewPSmlgszyA
67,_oN4CMFkHEeyewPSmlgszyA
68,_s0aIcFkHEeyewPSmlgszyA
70,_nwrCMFwPEeyiuNx_RO7j-Q
70,_0e5u8FkHEeyewPSmlgszyA
71,_s0aIcFkHEeyewPSmlgszyA
71,_yGgUMFkHEeyewPSmlgszyA
71,_0e5u8FkHEeyewPSmlgszyA
76,_4yx-8FkHEeyewPSmlgszyA
77,_6sergFkHEeyewPSmlgszyA
78,_2BgxMFkHEeyewPSmlgszyA
79,_2BgxMFkHEeyewPSmlgszyA
